,speciesCode,comName,sciName,locId,locName,obsDt,howMany,lat,lng,obsValid,obsReviewed,locationPrivate,subId
0,cowscj1,California Scrub-Jay,Aphelocoma californica,L16598980,Wattles Garden Park,2022-08-24 08:37,1.0,34.1051399,-118.3547761,True,False,False,S117490254
1,caltow,California Towhee,Melozone crissalis,L16598980,Wattles Garden Park,2022-08-24 08:37,2.0,34.1051399,-118.3547761,True,False,False,S117490254
2,moudov,Mourning Dove,Zenaida macroura,L16598980,Wattles Garden Park,2022-08-24 08:37,1.0,34.1051399,-118.3547761,True,False,False,S117490254
3,normoc,Northern Mockingbird,Mimus polyglottos,L16598980,Wattles Garden Park,2022-08-24 08:37,4.0,34.1051399,-118.3547761,True,False,False,S117490254
4,rethaw,Red-tailed Hawk,Buteo jamaicensis,L16598980,Wattles Garden Park,2022-08-24 08:37,1.0,34.1051399,-118.3547761,True,False,False,S117490254
5,houfin,House Finch,Haemorhous mexicanus,L16598980,Wattles Garden Park,2022-08-24 08:37,6.0,34.1051399,-118.3547761,True,False,False,S117490254
6,comrav,Common Raven,Corvus corax,L16598980,Wattles Garden Park,2022-08-24 08:37,2.0,34.1051399,-118.3547761,True,False,False,S117490254
7,allhum,Allen's Hummingbird,Selasphorus sasin,L16598980,Wattles Garden Park,2022-08-24 08:37,2.0,34.1051399,-118.3547761,True,False,False,S117490254
8,spotow,Spotted Towhee,Pipilo maculatus,L16598980,Wattles Garden Park,2022-08-24 08:37,1.0,34.1051399,-118.3547761,True,False,False,S117490254
9,blkpho,Black Phoebe,Sayornis nigricans,L16598980,Wattles Garden Park,2022-08-24 08:37,1.0,34.1051399,-118.3547761,True,False,False,S117490254
10,wesgul,Western Gull,Larus occidentalis,L7732526,Deforest Wetlands--S end of Deforest Park to Del Amo,2022-08-24 08:04,1.0,33.8601864,-118.196926,True,False,False,S117489419
11,bushti,Bushtit,Psaltriparus minimus,L7732526,Deforest Wetlands--S end of Deforest Park to Del Amo,2022-08-24 08:04,1.0,33.8601864,-118.196926,True,False,False,S117489419
12,eursta,European Starling,Sturnus vulgaris,L7732526,Deforest Wetlands--S end of Deforest Park to Del Amo,2022-08-24 08:04,20.0,33.8601864,-118.196926,True,False,False,S117489419
13,houwre,House Wren,Troglodytes aedon,L7732526,Deforest Wetlands--S end of Deforest Park to Del Amo,2022-08-24 08:04,1.0,33.8601864,-118.196926,True,False,False,S117489419
